"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV3","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum"
"ASV268","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp."
"ASV112","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium boydii"
"ASV134","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces marneffei"
"ASV269","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium pinkertoniae"
"ASV376","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium prolificans"
"ASV459","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium longipes"
"ASV512","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium chlamydosporum"
"ASV559","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium sp."
"ASV574","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium acutatum"
"ASV594","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium verruculosum"
"ASV794","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium beomiforme"
"ASV836","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium neocosmosporiellum"
"ASV842","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Unknown","Candida","Candida tropicalis"
"ASV997","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani"
"ASV1066","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium furcatum"
"ASV1158","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium hyalinulum"
"ASV1622","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus microsporus"
"ASV1677","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium polychromum"
"ASV1786","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium vitellinum"
"ASV3115","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium aurantiacum"
"ASV3700","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium nematophilum"
"ASV5353","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium hennebertii"
"ASV5489","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium redolens"
"ASV7292","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus arrhizus"
"ASV8107","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium sp."
"ASV8191","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor circinelloides"
"ASV8318","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia lunata"
"ASV8514","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Trematosphaeriaceae","Falciformispora","Falciformispora senegalensis"
"ASV8585","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium brachypenium"
"ASV9780","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unknown","Acremonium","Acremonium charticola"
"ASV10698","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Lichtheimia","Lichtheimia brasiliensis"
