no,zone,plant,prov,rep,lat ,long
22,1,อ้อย,2,3,17.76577778,102.1118056
23,1,ยางพารา,3,5,18.01919444,101.8818333
33,1,ยางพารา,3,5,17.86925,101.6531667
34,1,อ้อย,3,5,17.67877778,101.5516667
35,1,ข้าว,3,3,17.24863889,101.7184722
46,1,อ้อย,3,5,16.71827778,101.9251667
48,1,ข้าว,4,5,15.86958333,101.4166389
24,2,ข้าว,3,5,16.74561111,102.1284444
25,2,อ้อย,3,5,16.37919444,102.6217222
28,2,ข้าว,3,5,16.66694444,102.5903889
29,2,ข้าว,3,5,17.17219444,102.4395278
30,2,อ้อย,3,5,16.914,102.2386389
31,2,มันสำปะหลัง,3,5,17.29247222,102.2417778
32,2,ยางพารา,3,3,16.99380556,102.5704722
47,2,อ้อย,4,5,16.10766667,101.8325833
37,3,อ้อย,4,5,15.42233333,101.6158889
49,3,มันสำปะหลัง,4,5,15.60825,101.4095
1,4,ข้าว,1,5,17.03152778,103.8244444
2,4,ยางพารา,1,5,17.04230556,103.8284167
4,4,อ้อย,1,3,17.03847222,103.8450556
5,4,ข้าว,1,3,17.39655556,104.3006944
18,4,ข้าว,2,5,16.80013889,103.5838611
19,4,ยางพารา,1,5,16.34297222,104.5454167
6,5,ข้าว,1,5,17.52344444,103.4280833
7,5,ยางพารา,1,5,17.81569444,103.5484722
8,5,มันสำปะหลัง,1,3,17.37211111,103.5150278
9,5,อ้อย,1,3,17.73452778,103.5334167
11,5,นาข้าว,1,5,17.76027778,103.6133333
20,5,นาข้าว,2,5,17.46,102.7565556
21,5,ยางพารา,1,5,18.1615,102.1773889
12,6,ยางพารา,1,5,17.93175,103.7733056
13,6,นาข้าว,1,5,18.11427778,103.8582778
14,6,มันสำปะหลัง,1,3,18.07297222,103.9579444
15,6,นาข้าว,1,5,17.64061111,104.1347778
16,6,ยางพารา,1,5,17.62522222,104.5059167
17,6,อ้อย,1,3,17.18425,104.5775556
38,7,ข้าว,4,5,15.2635,102.4172222
40,7,มันสำปะหลัง,4,3,15.27419444,102.7363056
41,7,ข้าว,4,5,15.25063889,102.5132778
42,7,มันสำปะหลัง,4,5,14.92241667,102.4994167
50,7,ข้าว,3,5,16.19138889,103.4594444
52,7,ข้าว,3,5,16.11861111,103.8468056
53,7,อ้อย,1,3,15.82908333,104.3705833
55,8,ยางพารา,1,5,15.24625,105.4786944
56,8,มันสำปะหลัง,2,3,14.74536111,104.6811111
57,8,ข้าว,3,5,14.86597222,103.5259167
